,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10
Protein_31,98.05244558346105,112.15809964606406,215.64786064783834,201.37828067106875,146.87019992724012,157.38006744482843,281.1342878528651,110.41150115903305,195.10711015026325,134.14263495285076
Protein_32,133.10780960345073,257.08028419965717,224.23804186357862,222.9070387600668,285.07132256583867,149.9799953420916,208.7164194013365,127.08633030499482,174.52764902822702,139.0631953775953
Protein_33,155.788291923445,199.85228381113984,98.58209554778524,422.5017707204351,89.74670460938863,80.87507608602829,264.8213470999774,220.48537077216673,202.76748095237394,203.1963503429076
Protein_34,147.50714474804508,94.76241024807769,154.1463196764135,105.78610141891335,241.66678762625526,137.89207434937788,98.2240802410457,126.38174883682717,182.44809600832437,111.9595587609965
Protein_35,98.38514254058406,167.64415462147934,167.75142750868,115.18371924941933,117.27022031745099,166.67152655831032,71.9490211929552,73.42526695374308,103.62492496706335,133.38990075669292
Protein_36,173.37446326026546,310.3429910152977,227.88242396990302,137.00682402900046,147.00871872122602,89.9033601834916,147.04570135074047,128.46682252608935,174.40135486552518,98.13896929615512
Protein_37,192.41860961417592,319.3761163910992,140.55795934965528,181.42745213605647,209.5729724411854,121.43629011442957,166.00970340667004,149.35054598409107,155.84127935506027,100.83596706073466
Protein_38,150.24316584098312,190.37563478886693,306.6085350839737,239.75927833168492,435.54199836270294,101.12184931538933,229.55905539013136,162.66144282183373,443.5903345637319,99.07239616943183
Protein_39,97.52795734582322,109.9805659803476,51.31854243507086,114.10538933174463,101.53805651293379,160.0036925232922,176.06935640374175,379.20820947577147,238.70104688040084,111.22422092462375
Protein_40,94.70744978648146,189.797855191914,76.69859549139275,370.82467727763265,267.66068039055455,117.37948808550966,63.01877736874485,292.05326122268343,140.15235450654703,275.5883194506267
Protein_41,66.87238961118005,109.98153505034276,148.80278667215651,151.94069752886156,118.5064351614202,202.63877615542975,87.0245084503529,138.21497424991583,157.6138124221508,191.94702395014494
Protein_42,211.83495112826947,84.57840331693716,68.91975898528338,281.1359642770962,175.24009516307353,102.07999102974524,322.330039418119,157.2500662912485,267.6415518126123,153.50900667376752
Protein_43,415.87052026119363,356.9766670433165,131.04200566847246,241.238356412002,204.9339997358602,294.21646701100775,91.60980154389905,209.1445688865357,251.94536121443238,61.598052623718594
Protein_44,82.13553459167457,53.537583956420164,129.70940248255107,212.46369525248215,314.5611604420432,154.0145980124696,335.05938098400986,74.43671273656621,63.32681013519708,144.34787005102473
Protein_45,179.83373408149652,146.006716774213,52.78773911313604,141.9450456516911,77.30551123457653,207.43878299138547,178.26997648345275,92.76413667332412,114.78565749083579,87.39108184386676
Protein_46,143.83408551287334,239.26486504455238,90.66187952091057,190.95222345143344,113.84879300331208,99.83946877750469,140.6795797074428,88.44481859019032,112.52499191478788,81.53733827732619
Protein_47,396.3757267937406,151.05315216742824,104.59934043348322,165.17242947599766,140.30743441984364,132.88913381118135,201.7609034439803,216.75200264118206,113.83493109236574,111.2845995269653
Protein_48,129.34382275266847,46.94794419737416,69.5749416606056,293.95806870724977,337.8100842834503,131.0372953776501,198.00226727798403,173.40416389124505,691.8992857678113,259.76761833291425
Protein_49,139.21802149168738,92.04059959953555,66.47173633990218,164.30620948922746,101.6793899702957,72.88429219352787,107.41647382465736,86.4205935077227,345.0091082944294,230.63119551940156
Protein_50,147.82271429353517,311.05572290108955,154.26688991728997,96.48213863382544,317.84442662934265,194.31003885799996,88.35624869264258,134.94005745192047,95.79312068910158,74.33635517304057
Protein_51,235.82470975382057,385.5644329319118,73.75259736368592,196.66162618694088,107.19812045769292,116.33073617218608,110.36610181101264,96.35165919016352,152.05781554790383,97.95664098083311
Protein_52,169.9031235063359,144.73159314246755,131.6999167415989,94.27520041328692,111.2315800458185,216.52274786931403,190.65368101205345,91.03302726058905,155.97038550386395,216.08969188105698
Protein_53,64.41183306257732,194.74287450812326,106.55785962909745,197.41326716628723,101.32877434694124,60.19317354772468,65.77427346204902,152.02461877111276,168.99366869206483,94.42838225541668
Protein_54,204.2400932264842,64.66628503553896,143.58972493495978,81.00346245515455,107.13416699071244,151.97246234619624,96.52415784309939,122.45238100057084,245.46304456673803,111.22487637863317
Protein_55,225.3931151329737,84.36448951069188,193.42736918490118,305.1441568418714,43.12822908735764,99.63887226798667,198.05327567948925,134.08545317730378,178.67579038483524,109.7283105703549
Protein_56,154.9798167208604,137.2990484497711,266.10501678968,168.5462885648971,175.70410015572747,120.79096829536468,116.30277128048886,119.54835167818244,180.7701023524342,120.24216604032242
Protein_57,171.55217168985575,418.92855796018677,229.42182776492695,126.08902863550135,270.5905955538591,121.0207857000973,53.56724242227738,89.65391281392824,58.24184248640883,124.49222423111733
Protein_58,149.78623678534817,343.1674965606286,174.76875268910408,133.01338145384244,224.68575703310916,49.12815762591591,166.96885183364355,218.20447828336776,70.86005510591275,262.92715630866127
Protein_59,175.78263506930085,120.58513802185875,203.64757636736542,461.8990814968913,162.54146322485494,168.0245825078163,117.95692910269302,97.03558969353435,224.7902866586385,96.73333674449789
Protein_60,153.82000476546503,116.8827477846727,188.57388875597417,175.35825498094965,249.3281679039372,115.0068625088268,129.679047494288,90.9780384893418,118.84895129073666,179.2264780358656
Protein_61,216.6957526740289,93.58941953247599,229.24767287586317,292.3111828183967,182.4940284402475,379.3267255031756,100.7966781716793,79.65243828218298,60.98572836361293,313.569854224372
Protein_62,205.85722133665692,144.34520165996437,170.71309035136898,84.54259382946738,504.1510823956785,158.31877930894973,156.7570880487427,213.3391839231546,188.76533235847626,165.99240132190243
Protein_63,99.95926692709492,187.86698363774997,380.3197127161291,290.82160067540184,329.17624727188036,114.93792060534064,90.48622144341091,139.36641444887354,152.60646080782854,256.49155991008564
Protein_64,63.67345044169728,318.8673417566524,137.13914272055646,119.88817880161625,89.4739760287119,64.88209269013498,223.9863902016745,153.95478933948337,77.8683476582258,77.66934225723553
Protein_65,125.4751398813569,341.89742413491217,130.34754734948248,69.99532985320575,131.25322439080074,129.49447486912962,38.53460537661751,144.43832022049816,132.22866505588846,210.20919097813461
Protein_66,374.08313075931045,260.677109937593,129.74301090303084,85.34800252515102,537.3662552648622,152.8732607510046,149.45041206807244,146.6336730477386,163.86491188694686,138.0781451427964
Protein_67,111.40464203074409,112.90768403498868,146.0024445252795,113.1017226743982,103.91540021800222,156.5249017359171,130.6486150288844,314.8185667426075,39.429532675016766,256.1474937320587
Protein_68,276.7300815415014,52.63097810765217,125.0428155381978,123.25798119867906,73.42350769289432,100.59390367774063,85.17535038682645,356.42905709188176,236.94764192327713,280.276761101562
Protein_69,212.90286567929903,84.39212692666584,114.17585720503267,189.55652795881997,80.55467090216757,211.98154417119648,131.60924944014153,123.04985472579598,211.7655960824321,185.3288205513644
Protein_70,123.90521982557028,264.9827956179112,86.44153903998539,201.9394305089926,199.64696443965323,127.1321097882895,174.6993525596888,79.3956206989826,235.5712721754124,135.30736006039785
Protein_71,114.27850435633452,250.7620829497698,104.35808965134034,73.38865442585843,68.14824550734349,200.93972263038202,78.24033627822189,356.8791078625601,52.40674456193107,346.6196898181468
Protein_72,164.9279535845519,141.40716783283895,113.01724939722212,181.19395953905305,145.64652852927836,257.6625906928246,157.13633814377374,159.99633052161687,123.74139873890853,144.2470115678251
Protein_73,173.10543927933196,63.112307853443916,75.63410372549147,215.21382031310296,161.64987308742712,135.3695345481072,149.7874016681427,176.5829703137846,113.3091767438425,100.56935985814296
Protein_74,163.68152637967248,90.99582362132155,182.0217850257475,63.3521090271733,248.28513376777622,187.9730762628723,168.68192941986524,242.5833813685093,341.2915926281001,246.45638297935707
Protein_75,59.119622088090814,78.27368885930665,108.59123673022923,150.36197069263767,192.2563254844929,103.24740449097803,162.94021953834155,101.72860519133089,109.31581721741793,73.4547412738389
Protein_76,93.53945977502241,75.50189061440373,91.10961786592432,251.34359270902428,92.32367005368074,553.4608580135186,189.93063953646853,162.78300591485703,96.62341565303892,210.64093198220502
Protein_77,111.2946386522699,157.74895978436888,533.8112270871936,141.4533598154811,263.6537431094814,104.41901422290769,145.83936186113738,359.7467522097479,108.4746463093457,367.3166486805927
Protein_78,211.42619287578466,112.02999097959501,203.60948489666816,241.35701438622937,202.53343440864938,67.68656018545755,103.17549900182405,131.1367513600027,142.99122796124217,202.41823936144905
Protein_79,162.2033022285926,76.12127716859239,179.48630782689207,201.39997832079146,196.3493015728059,254.77743567657964,225.19373525034803,186.71624156513238,143.29667683079083,64.68436595246685
Protein_80,183.97669823573708,164.65359513234858,169.99846686997554,78.38446146314354,86.4418323881285,251.2821538396841,145.50674211114978,208.66922624076705,150.52951652744127,150.6377683450323
Protein_81,237.25651627887734,114.66073479076846,155.72013481125938,117.78516807965758,119.43256306737918,127.15590579659909,165.84720054591327,116.81899541728279,278.0714410266829,94.88791461633113
Protein_82,135.17418120036288,119.1203671864363,305.9705765233926,163.73960445498534,248.61916547623593,70.61339190012552,169.6139772401511,231.5545302934292,154.64651971926202,252.83578011755685
Protein_83,114.58945392396905,300.26749281414556,468.4592235960549,123.78927437441706,118.77711329051783,306.95226244020466,326.94307489898733,114.2706761678428,120.29013201186264,128.90912458995265
Protein_84,75.7754790161314,93.75397151293677,89.83095412388855,101.09909934672643,145.8615021834865,166.85202908701373,322.22506029352166,90.09124405844965,242.78133912200218,133.35377749352
Protein_85,144.7876440513735,207.9733083202092,84.65964054507647,179.6849200834288,161.2935673189981,189.8483569173013,171.5001809922628,506.5636944886764,107.89192243471103,113.80671448989892
Protein_86,108.68238579448554,112.42220152509698,107.91095932104544,268.94536786953535,301.94718681773014,111.56717246378572,97.88782825363747,187.8620239444394,112.60526554164494,203.66284558473788
Protein_87,164.26180228926796,69.55570501234699,321.74284248985725,364.2858408570271,109.24637523057906,122.25991385947684,171.2171605193028,175.42794608677943,206.28777012679478,405.49245607830954
Protein_88,135.84661063648892,99.56905043837364,74.46583175299773,102.98001909363121,145.97516632306096,364.0455261872508,114.57095787523997,165.98442784928534,147.19946208343728,268.8615697969096
Protein_89,525.0356751432786,113.81400871441946,116.19621592995742,250.15492815371408,208.71000338308394,373.662753823189,198.7333730973178,124.00897656107595,199.40290285012173,258.3594391339076
Protein_90,223.68550965368343,191.2606228644987,252.98680792891165,266.3064718085455,296.213208944032,205.27590325303586,136.51588204594236,159.70954842835027,271.30793932794114,98.6454555002035
Protein_91,178.45503316405384,121.91579406395095,150.56161636518016,281.2449312977114,163.29355533484917,151.89937181525602,75.19403676772889,215.53574869754192,204.94509019876892,437.74097827855
Protein_92,127.24455726396909,165.59998706346272,168.12232540458993,326.5968840370629,141.50743131146962,170.63226825870368,201.12935431201768,162.9273769887742,118.72182988175082,163.53793739997093
Protein_93,253.86836253234148,88.83159180458956,158.61578590616452,104.57866805359342,269.7574749635132,69.29734180085201,112.22873622279945,179.21853686754673,324.65465410624716,143.61338598903464
Protein_94,112.43780638615658,380.1547986811666,71.95155532099936,49.43195224531413,184.93552022992176,115.46562744865687,89.06652758385465,211.49010735341253,167.6536688882789,111.93973931089671
Protein_95,78.24522464558414,229.57474531893098,205.42902332131857,141.23314960949278,373.6496142617001,86.91734562965108,69.21637132870748,105.00898994952608,145.06863740326705,167.615007008228
Protein_96,131.5493374613453,176.97840124386906,79.37871727321189,305.4793866017998,142.44050600391992,259.47177135779697,176.15471531705333,186.4898118752372,197.3312206742832,185.6483476082844
Protein_97,204.66231559265438,288.46572221205946,163.73685309520476,211.5585682929551,141.90135780366253,304.92279326436784,105.826805661174,365.20915485141904,145.46289322110852,72.57441497748067
Protein_98,158.23040138642713,105.58055027036121,225.95181633734722,107.09197132401245,118.73668180364109,57.69841102234007,118.37373207668428,44.17064095892542,67.22522763110649,217.0672748995906
Protein_99,219.84001545286895,183.59436406334302,91.5158268567202,144.9145592114726,148.1460676230561,83.16425727011037,314.7249714328072,230.13846402603096,132.8894943201935,150.42173557086542
Protein_100,164.71083214653677,53.47063184948438,131.1591286759626,105.53133003654072,89.94424650132142,128.95323942325481,364.615459798055,204.47003377405937,111.54303773814289,197.60920943459092
